date,segment_start,segment_end,duration_minutes,segment_type,pause_reason,note
2026-07-01,2026-07-01T19:18:58.802Z,2026-07-01T19:19:11.297Z,0.21,work,,
2026-07-01,2026-07-01T19:19:11.297Z,2026-07-01T19:19:12.215Z,0.02,pause,Bathroom,
2026-07-01,2026-07-01T19:19:12.215Z,2026-07-01T19:19:19.913Z,0.13,work,,
2026-07-01,2026-07-01T19:19:19.913Z,2026-07-01T19:19:25.537Z,0.09,pause,Admin,
2026-07-01,2026-07-01T19:19:25.537Z,2026-07-01T19:19:32.207Z,0.11,work,,
2026-07-01,2026-07-01T19:19:32.207Z,2026-07-01T19:19:32.599Z,0.01,pause,Admin,
2026-07-01,2026-07-01T19:34:21.332Z,2026-07-01T19:34:35.871Z,0.24,work,,
2026-07-01,2026-07-01T19:34:35.871Z,2026-07-01T19:34:50.339Z,0.24,pause,Bathroom,
2026-07-01,2026-07-01T19:34:50.339Z,2026-07-01T19:35:14.956Z,0.41,work,,
2026-07-01,2026-07-01T19:35:14.956Z,2026-07-01T19:35:25.026Z,0.17,pause,Other,
